grade,car_model,car_use_cond,price,mileage,year,car_id,car_location,indi_car_link,car_type,fuel_type,gear_type
C,2008 Lexus Is,Foreign Used,"₦ 2,210,000","Mileage:  84,863 Km",Year: 2008,Car ID: NG-425478,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/lexus-is-2008-ng-425478?filter=,Sedan,Petrol,automatic
E,2001 Volkswagen Passat,Nigerian Used,"₦ 671,000","Mileage:  95,136 Km",Year: 2001,Car ID: NG-425591,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/volkswagen-passat-2001-automatic-ng-425591?filter=,Sedan,Petrol,manual
D,2005 Toyota Sienna,Foreign Used,"₦ 2,211,000","Mileage:  163,057 Km",Year: 2005,Car ID: NG-425481,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-sienna-2005-automatic-ng-425481?filter=,Mpv,Petrol,automatic
C,2007 Lexus is 250,Nigerian Used,"₦ 2,211,000","Mileage:  158,275 Km",Year: 2007,Car ID: NG-425556,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/lexus-is-250-2007-ng-425556?filter=,Sedan,Petrol,automatic
D,2002 Toyota Camry,Nigerian Used,"₦ 891,000","Mileage:  206,117 Km",Year: 2002,Car ID: NG-425605,"Abuja - SNB
                                                                                                                        , Abuja",https://buy.cars45.com/cars/toyota-camry-2002-automatic-ng-425605?filter=,Sedan,Petrol,automatic
A,2018 Toyota Camry,Nigerian Used,"₦ 10,461,000","Mileage:  18,158 Km",Year: 2018,Car ID: NG-425596,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-camry-2018-automatic-ng-425596?filter=,Sedan,Petrol,automatic
D,2009 Mercedes-Benz R350,Nigerian Used,"₦ 2,211,000","Mileage:  130,926 Km",Year: 2009,Car ID: NG-425530,"Abuja - SNB
                                                                                                                        , Abuja",https://buy.cars45.com/cars/mercedes-benz-r350-2009-automatic-ng-425530?filter=,Mpv,Petrol,automatic
E,2002 Mercedes-Benz C180,Foreign Used,"₦ 1,221,000","Mileage:  106,490 Km",Year: 2002,Car ID: NG-425607,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/mercedes-benz-c180-2002-automatic-ng-425607?filter=,Sedan,Petrol,automatic
E,2007 Toyota Camry,Nigerian Used,"₦ 946,000","Mileage:  194,961 Km",Year: 2007,Car ID: NG-425622,Zaydollar Cars Retail Outlet Mushin,https://buy.cars45.com/cars/toyota-camry-2007-automatic-ng-425622?filter=,About,Us,Terms
E,2010 BMW X6,Nigerian Used,"₦ 2,761,000","Mileage:  40,926 Km",Year: 2010,Car ID: NG-425602,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/bmw-x6-2010-ng-425602?filter=,Mpv,Petrol,automatic
D,2008 Toyota Corolla,Nigerian Used,"₦ 1,001,000","Mileage:  266,048 Km",Year: 2008,Car ID: NG-425603,"Island - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-corolla-2008-manual-ng-425603?filter=,Sedan,Petrol,manual
D,2006 Nissan Xterra,Nigerian Used,"₦ 781,000","Mileage:  172,331 Km",Year: 2006,Car ID: NG-425493,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/nissan-xterra-2006-automatic-ng-425493?filter=,Suv,Petrol,automatic
D,2004 Mitsubishi Endeavor,Nigerian Used,"₦ 891,000","Mileage:  138,390 Km",Year: 2004,Car ID: NG-425524,"Mainland 1 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/mitsubishi-endeavor-2004-ng-425524?filter=,Suv,Petrol,automatic
C,2014 Hyundai Elantra,Nigerian Used,"₦ 2,981,000","Mileage:  75,874 Km",Year: 2014,Car ID: NG-425571,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/hyundai-elantra-2014-automatic-ng-425571?filter=,Sedan,Petrol,automatic
C,2007 Toyota Sienna,Nigerian Used,"₦ 2,211,000","Mileage:  142,432 Km",Year: 2007,Car ID: NG-425584,"Abuja - SNB
                                                                                                                        , Abuja",https://buy.cars45.com/cars/toyota-sienna-2007-automatic-ng-425584?filter=,Mpv,Petrol,automatic
E,2006 Mercedes-Benz R350,Nigerian Used,"₦ 1,331,000","Mileage:  142,944 Km",Year: 2006,Car ID: NG-425580,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/mercedes-benz-r350-2006-automatic-ng-425580?filter=,Suv,Petrol,automatic
E,2003 Toyota Corolla,Nigerian Used,"₦ 1,111,000","Mileage:  218,909 Km",Year: 2003,Car ID: NG-425592,"Mainland 2 - SNB
                                                                                                                        , Lagos",https://buy.cars45.com/cars/toyota-corolla-2003-automatic-ng-425592?filter=,Sedan,Petrol,automatic
E,1996 Toyota Camry,Nigerian Used,"₦ 341,000","Mileage:  290,862 Km",Year: 1996,Car ID: NG-425677,"Port Harcourt - SNB
                                                                                                                        , Port Harcourt",https://buy.cars45.com/cars/toyota-camry-1996-automatic-ng-425677?filter=,Sedan,Petrol,automatic
